FECHA_TOMA_MUESTRA;FECHA_ESTIMADA_RECUPERACION;ID_DEPARTAMENTO;DEPARTAMENTO;TOTAL
2020/11/13 00:00:00.000;2020/12/04 00:00:00.000;10;SUCHITEPEQUEZ;6.0
2020/11/16 00:00:00.000;2020/12/07 00:00:00.000;10;SUCHITEPEQUEZ;12.0
2020/11/29 00:00:00.000;2020/12/20 00:00:00.000;10;SUCHITEPEQUEZ;5.0
2020/12/02 00:00:00.000;2020/12/23 00:00:00.000;10;SUCHITEPEQUEZ;2.0
2020/12/15 00:00:00.000;2021/01/05 00:00:00.000;10;SUCHITEPEQUEZ;4.0
2020/12/18 00:00:00.000;2021/01/08 00:00:00.000;10;SUCHITEPEQUEZ;6.0
2020/12/28 00:00:00.000;2021/01/18 00:00:00.000;10;SUCHITEPEQUEZ;13.0
2020/12/31 00:00:00.000;2021/01/21 00:00:00.000;10;SUCHITEPEQUEZ;2.0
2021/01/13 00:00:00.000;2021/02/03 00:00:00.000;10;SUCHITEPEQUEZ;14.0
2021/01/16 00:00:00.000;2021/02/06 00:00:00.000;10;SUCHITEPEQUEZ;15.0
2021/01/29 00:00:00.000;2021/02/19 00:00:00.000;10;SUCHITEPEQUEZ;7.0
2021/02/01 00:00:00.000;2021/02/22 00:00:00.000;10;SUCHITEPEQUEZ;7.0
2021/02/11 00:00:00.000;2021/03/04 00:00:00.000;10;SUCHITEPEQUEZ;16.0
2021/02/14 00:00:00.000;2021/03/07 00:00:00.000;10;SUCHITEPEQUEZ;3.0
2021/02/27 00:00:00.000;2021/03/20 00:00:00.000;10;SUCHITEPEQUEZ;9.0
2021/03/02 00:00:00.000;2021/03/23 00:00:00.000;10;SUCHITEPEQUEZ;26.0
2021/03/15 00:00:00.000;2021/04/05 00:00:00.000;10;SUCHITEPEQUEZ;48.0
2021/03/18 00:00:00.000;2021/04/08 00:00:00.000;10;SUCHITEPEQUEZ;56.0
2021/03/28 00:00:00.000;2021/04/18 00:00:00.000;10;SUCHITEPEQUEZ;17.0
2021/03/31 00:00:00.000;2021/04/21 00:00:00.000;10;SUCHITEPEQUEZ;39.0
2020/04/22 00:00:00.000;2020/05/13 00:00:00.000;;SIN DATO;1.0
2020/05/08 00:00:00.000;2020/05/29 00:00:00.000;;SIN DATO;1.0
2020/06/06 00:00:00.000;2020/06/27 00:00:00.000;;SIN DATO;19.0
2020/06/09 00:00:00.000;2020/06/30 00:00:00.000;;SIN DATO;1.0
2020/03/15 00:00:00.000;2020/04/05 00:00:00.000;1;GUATEMALA;4.0
2020/03/31 00:00:00.000;2020/04/21 00:00:00.000;1;GUATEMALA;5.0
2020/04/13 00:00:00.000;2020/05/04 00:00:00.000;1;GUATEMALA;5.0
2020/04/16 00:00:00.000;2020/05/07 00:00:00.000;1;GUATEMALA;9.0
2020/04/29 00:00:00.000;2020/05/20 00:00:00.000;1;GUATEMALA;9.0
2020/05/12 00:00:00.000;2020/06/02 00:00:00.000;1;GUATEMALA;90.0
2020/05/15 00:00:00.000;2020/06/05 00:00:00.000;1;GUATEMALA;55.0
2020/05/28 00:00:00.000;2020/06/18 00:00:00.000;1;GUATEMALA;264.0
2020/05/31 00:00:00.000;2020/06/21 00:00:00.000;1;GUATEMALA;65.0
2020/06/13 00:00:00.000;2020/07/04 00:00:00.000;1;GUATEMALA;291.0
2020/06/26 00:00:00.000;2020/07/17 00:00:00.000;1;GUATEMALA;926.0
2020/06/29 00:00:00.000;2020/07/20 00:00:00.000;1;GUATEMALA;524.0
2020/07/12 00:00:00.000;2020/08/02 00:00:00.000;1;GUATEMALA;227.0
2020/07/15 00:00:00.000;2020/08/05 00:00:00.000;1;GUATEMALA;594.0
2020/07/28 00:00:00.000;2020/08/18 00:00:00.000;1;GUATEMALA;523.0
2020/07/31 00:00:00.000;2020/08/21 00:00:00.000;1;GUATEMALA;425.0
2020/08/10 00:00:00.000;2020/08/31 00:00:00.000;1;GUATEMALA;326.0
2020/08/13 00:00:00.000;2020/09/03 00:00:00.000;1;GUATEMALA;251.0
2020/08/26 00:00:00.000;2020/09/16 00:00:00.000;1;GUATEMALA;262.0
2020/08/29 00:00:00.000;2020/09/19 00:00:00.000;1;GUATEMALA;135.0
2020/09/11 00:00:00.000;2020/10/02 00:00:00.000;1;GUATEMALA;191.0
2020/09/14 00:00:00.000;2020/10/05 00:00:00.000;1;GUATEMALA;235.0
2020/09/24 00:00:00.000;2020/10/15 00:00:00.000;1;GUATEMALA;243.0
2020/09/27 00:00:00.000;2020/10/18 00:00:00.000;1;GUATEMALA;59.0
2020/10/10 00:00:00.000;2020/10/31 00:00:00.000;1;GUATEMALA;119.0
2020/10/13 00:00:00.000;2020/11/03 00:00:00.000;1;GUATEMALA;196.0
2020/10/26 00:00:00.000;2020/11/16 00:00:00.000;1;GUATEMALA;267.0
2020/10/29 00:00:00.000;2020/11/19 00:00:00.000;1;GUATEMALA;204.0
2020/11/08 00:00:00.000;2020/11/29 00:00:00.000;1;GUATEMALA;108.0
2020/11/11 00:00:00.000;2020/12/02 00:00:00.000;1;GUATEMALA;287.0
2020/11/24 00:00:00.000;2020/12/15 00:00:00.000;1;GUATEMALA;283.0
2020/11/27 00:00:00.000;2020/12/18 00:00:00.000;1;GUATEMALA;259.0
2020/12/10 00:00:00.000;2020/12/31 00:00:00.000;1;GUATEMALA;303.0
2020/12/13 00:00:00.000;2021/01/03 00:00:00.000;1;GUATEMALA;159.0
2020/12/26 00:00:00.000;2021/01/16 00:00:00.000;1;GUATEMALA;266.0
2021/01/08 00:00:00.000;2021/01/29 00:00:00.000;1;GUATEMALA;622.0
2021/01/11 00:00:00.000;2021/02/01 00:00:00.000;1;GUATEMALA;654.0
2021/01/24 00:00:00.000;2021/02/14 00:00:00.000;1;GUATEMALA;195.0
2021/01/27 00:00:00.000;2021/02/17 00:00:00.000;1;GUATEMALA;370.0
2021/02/09 00:00:00.000;2021/03/02 00:00:00.000;1;GUATEMALA;353.0
2021/02/12 00:00:00.000;2021/03/05 00:00:00.000;1;GUATEMALA;319.0
2021/02/22 00:00:00.000;2021/03/15 00:00:00.000;1;GUATEMALA;252.0
2021/02/25 00:00:00.000;2021/03/18 00:00:00.000;1;GUATEMALA;224.0
2021/03/10 00:00:00.000;2021/03/31 00:00:00.000;1;GUATEMALA;298.0
2021/03/13 00:00:00.000;2021/04/03 00:00:00.000;1;GUATEMALA;187.0
2021/03/26 00:00:00.000;2021/04/16 00:00:00.000;1;GUATEMALA;397.0
2021/03/29 00:00:00.000;2021/04/19 00:00:00.000;1;GUATEMALA;393.0
2021/04/08 00:00:00.000;2021/04/29 00:00:00.000;1;GUATEMALA;545.0
2021/04/11 00:00:00.000;2021/05/02 00:00:00.000;1;GUATEMALA;310.0
2021/04/24 00:00:00.000;2021/05/15 00:00:00.000;1;GUATEMALA;292.0
2021/04/27 00:00:00.000;2021/05/18 00:00:00.000;1;GUATEMALA;539.0
2021/05/10 00:00:00.000;2021/05/31 00:00:00.000;1;GUATEMALA;432.0
2021/05/13 00:00:00.000;2021/06/03 00:00:00.000;1;GUATEMALA;432.0
2021/05/23 00:00:00.000;2021/06/13 00:00:00.000;1;GUATEMALA;262.0
2021/05/26 00:00:00.000;2021/06/16 00:00:00.000;1;GUATEMALA;572.0
2021/06/08 00:00:00.000;2021/06/29 00:00:00.000;1;GUATEMALA;697.0
2021/06/11 00:00:00.000;2021/07/02 00:00:00.000;1;GUATEMALA;642.0
2021/06/24 00:00:00.000;2021/07/15 00:00:00.000;1;GUATEMALA;1147.0
2021/06/27 00:00:00.000;2021/07/18 00:00:00.000;1;GUATEMALA;546.0
2021/07/10 00:00:00.000;2021/07/31 00:00:00.000;1;GUATEMALA;1018.0
2021/07/23 00:00:00.000;2021/08/13 00:00:00.000;1;GUATEMALA;1536.0
2021/07/26 00:00:00.000;2021/08/16 00:00:00.000;1;GUATEMALA;2044.0
2021/08/08 00:00:00.000;2021/08/29 00:00:00.000;1;GUATEMALA;1133.0
2021/08/11 00:00:00.000;2021/09/01 00:00:00.000;1;GUATEMALA;2365.0
2021/08/24 00:00:00.000;2021/09/14 00:00:00.000;1;GUATEMALA;2144.0
2021/09/06 00:00:00.000;2021/09/27 00:00:00.000;1;GUATEMALA;1724.0
2021/09/09 00:00:00.000;2021/09/30 00:00:00.000;1;GUATEMALA;1208.0
2021/09/22 00:00:00.000;2021/10/13 00:00:00.000;1;GUATEMALA;767.0
2021/09/25 00:00:00.000;2021/10/16 00:00:00.000;1;GUATEMALA;328.0
2021/10/08 00:00:00.000;2021/10/29 00:00:00.000;1;GUATEMALA;216.0
2021/10/11 00:00:00.000;2021/11/01 00:00:00.000;1;GUATEMALA;236.0
2021/10/21 00:00:00.000;2021/11/11 00:00:00.000;1;GUATEMALA;100.0
2021/10/24 00:00:00.000;2021/11/14 00:00:00.000;1;GUATEMALA;56.0
2021/11/06 00:00:00.000;2021/11/27 00:00:00.000;1;GUATEMALA;30.0
2021/11/09 00:00:00.000;2021/11/30 00:00:00.000;1;GUATEMALA;49.0
2021/11/22 00:00:00.000;2021/12/13 00:00:00.000;1;GUATEMALA;50.0
2021/11/25 00:00:00.000;2021/12/16 00:00:00.000;1;GUATEMALA;32.0
2021/12/05 00:00:00.000;2021/12/26 00:00:00.000;1;GUATEMALA;29.0
2021/12/08 00:00:00.000;2021/12/29 00:00:00.000;1;GUATEMALA;62.0
2021/12/21 00:00:00.000;2022/01/11 00:00:00.000;1;GUATEMALA;207.0
2021/12/24 00:00:00.000;2022/01/14 00:00:00.000;1;GUATEMALA;268.0
2022/01/06 00:00:00.000;2022/01/27 00:00:00.000;1;GUATEMALA;1799.0
2022/01/09 00:00:00.000;2022/01/30 00:00:00.000;1;GUATEMALA;1133.0
2022/01/22 00:00:00.000;2022/02/12 00:00:00.000;1;GUATEMALA;1366.0
2022/02/04 00:00:00.000;2022/02/25 00:00:00.000;1;GUATEMALA;2421.0
2022/02/07 00:00:00.000;2022/02/28 00:00:00.000;1;GUATEMALA;2637.0
2022/02/20 00:00:00.000;2022/03/13 00:00:00.000;1;GUATEMALA;786.0
2022/02/23 00:00:00.000;2022/03/16 00:00:00.000;1;GUATEMALA;1487.0
2022/03/08 00:00:00.000;2022/03/29 00:00:00.000;1;GUATEMALA;750.0
2022/03/21 00:00:00.000;2022/04/11 00:00:00.000;1;GUATEMALA;398.0
2022/03/24 00:00:00.000;2022/04/14 00:00:00.000;1;GUATEMALA;338.0
2022/04/06 00:00:00.000;2022/04/27 00:00:00.000;1;GUATEMALA;136.0
2022/04/09 00:00:00.000;2022/04/30 00:00:00.000;1;GUATEMALA;39.0
2022/04/22 00:00:00.000;2022/05/13 00:00:00.000;1;GUATEMALA;102.0
2022/04/25 00:00:00.000;2022/05/16 00:00:00.000;1;GUATEMALA;259.0
2022/05/05 00:00:00.000;2022/05/26 00:00:00.000;1;GUATEMALA;96.0
2022/05/08 00:00:00.000;2022/05/29 00:00:00.000;1;GUATEMALA;58.0
2022/05/21 00:00:00.000;2022/06/11 00:00:00.000;1;GUATEMALA;116.0
